Start source_only c6->c1 seed=42 init_sha256=791e81a865208ac373d2a6f5c599e792686145eddafbc4ef215d7b4890f983ae
source_only epoch=1/50 source_MSE=17161.380469 gram=0.000000 source_order_sha256=f7e5f6417103e5ca68ef584f38668fd3d874641c1e8bc1b036eaec76768ac73e target_unique=0
source_only epoch=2/50 source_MSE=15560.325391 gram=0.000000 source_order_sha256=64b9b4851c74b41d759a3892498426b49e0172749be98a198f4d285c09242fcc target_unique=0
source_only epoch=3/50 source_MSE=14674.064453 gram=0.000000 source_order_sha256=eb7136700c2d72f489c3526a9ee4d3209f799e6e93db45104359d02ca98d9b38 target_unique=0
source_only epoch=4/50 source_MSE=13861.350000 gram=0.000000 source_order_sha256=0db26a257ca3af38a60b1338a50459d228a74c0ae394c0f0204197a9d30a89bb target_unique=0
source_only epoch=5/50 source_MSE=13069.713867 gram=0.000000 source_order_sha256=7aa8f243330a0d837479f6c7c9100d97a268589b44cf32c2304761bdf16b2be0 target_unique=0
source_only epoch=6/50 source_MSE=12277.442578 gram=0.000000 source_order_sha256=f01faf5b98eec067f60c9a567f0890166e6bb1b6076e301ccbd6e58d235f9ba4 target_unique=0
source_only epoch=7/50 source_MSE=11489.452344 gram=0.000000 source_order_sha256=0f8cd8079fc23095d59c7884672afb3e7302dd5831da8999e5dc31bdf743cb49 target_unique=0
source_only epoch=8/50 source_MSE=10713.793555 gram=0.000000 source_order_sha256=9b7fe8d6a87fee5cbc0d3962dbb62dbff0eda5db74243f3225f45c6aa189ad09 target_unique=0
source_only epoch=9/50 source_MSE=9905.745312 gram=0.000000 source_order_sha256=e926657a4d8b506e708196792c99b9e049ad3bc6684c8d4a5d4ee706a3bf57c3 target_unique=0
source_only epoch=10/50 source_MSE=9142.874023 gram=0.000000 source_order_sha256=f2ddf2cd913378c6fa47073cf0949108064eb4006caeb359e0c85f8ef197689b target_unique=0
source_only epoch=11/50 source_MSE=8338.962012 gram=0.000000 source_order_sha256=3c2b4b9d9ffd98eaa0475619dc97dba13e4635d76e1e463c8bea989829b40377 target_unique=0
source_only epoch=12/50 source_MSE=7580.846094 gram=0.000000 source_order_sha256=24b861692f5a5240a4779d0bb7536d71887aac26a181d500533029d14de572be target_unique=0
source_only epoch=13/50 source_MSE=6793.909863 gram=0.000000 source_order_sha256=8e8e44826057fa2f9271298c21ac725195d8f93d942619657b406c4460f43054 target_unique=0
source_only epoch=14/50 source_MSE=6041.187402 gram=0.000000 source_order_sha256=c81b6a78ff9fb15fcf5533f2d54abab619245a242069fd90e9f1393f2dde7db1 target_unique=0
source_only epoch=15/50 source_MSE=5303.152051 gram=0.000000 source_order_sha256=3a3db6790cca59fb5747496e05e82d0817b24991edf1a96151390fba726b81d9 target_unique=0
