Start daregram c4->c6 seed=46 init_sha256=f7a36f8ae49613bd5ba814e2562826bc0ad4fcc2564cc749136e9ff2fb9b7b48
daregram epoch=1/50 source_MSE=10974.303320 gram=16.712013 source_order_sha256=b43c0eef61b4e2937159fac825ec4b0f0a309d4960d906437b9a519e6314dc6c target_unique=315
daregram epoch=2/50 source_MSE=9762.141211 gram=29.382380 source_order_sha256=99e91673c9feab027e5126b8302b20895d3ffde1bdf83be9302a3f9bbe93e08d target_unique=315
daregram epoch=3/50 source_MSE=9079.079590 gram=26.156763 source_order_sha256=b65fc12cba49c982d9ecf9f0a10a1d9b4d81386d3493ee99fbfd30c2031e7f73 target_unique=315
daregram epoch=4/50 source_MSE=8446.846289 gram=28.262792 source_order_sha256=76b9ee75936b122b271363d3028f0f88b807f9128d5adfb560251ceb86065543 target_unique=315
daregram epoch=5/50 source_MSE=7868.706348 gram=56.487791 source_order_sha256=99490cea6e8182bf6b503954a78f1bd1a2f2b575a3e5d4238faacfc93c13b5db target_unique=315
daregram epoch=6/50 source_MSE=7306.731445 gram=27.783049 source_order_sha256=9200796bb2ff3431788082628225880b3cb77c9db57c8ea477b074826ecd2f81 target_unique=315
daregram epoch=7/50 source_MSE=6688.958887 gram=56.262185 source_order_sha256=ffd15ac5dc21321afdb33089fb78b037f6c07b87fc26288aab398b36803673e7 target_unique=315
daregram epoch=8/50 source_MSE=6152.483594 gram=37.550166 source_order_sha256=d18275e177651f2a0cfa59d892caae0b63cb0ffe768fa4adb74d975e4020b2dd target_unique=315
daregram epoch=9/50 source_MSE=5512.645508 gram=55.684336 source_order_sha256=43ddd19b9d661c67110dc98bec5d479bde043466f0fbfb11c654e30a67daeac1 target_unique=315
daregram epoch=10/50 source_MSE=4902.192090 gram=50.402619 source_order_sha256=7a4972e352e43835d81aeed873faf0ac2790b55f82b1d7c27898fe428cdba1e3 target_unique=315
daregram epoch=11/50 source_MSE=4365.399609 gram=65.967190 source_order_sha256=2ab7187c2d4e00df75fc341597f0517fcb609530715f718a3aad71c6c62d4d30 target_unique=315
daregram epoch=12/50 source_MSE=3793.065479 gram=39.470159 source_order_sha256=7ee0eb021dd01bb796044e1c09a819d5708f61f8c4a5539cd750793289a26533 target_unique=315
daregram epoch=13/50 source_MSE=3260.740088 gram=26.702438 source_order_sha256=1231b54c2d6a872464c797107d5b2e0d845a3ea620a9503768c83af4d80b1c61 target_unique=315
daregram epoch=14/50 source_MSE=2774.128418 gram=16.137227 source_order_sha256=649ac453467c96e6fc1e6d99943847f91d89e1dfbfdf7b9cf37ffb42a43a41b3 target_unique=315
daregram epoch=15/50 source_MSE=2319.916431 gram=31.994962 source_order_sha256=410d3dda655a7be694b54a1a11493bd0b89bec4c745ec41b734e4589201ab1b5 target_unique=315
daregram epoch=16/50 source_MSE=1913.412378 gram=26.808111 source_order_sha256=0ac6f08bde12fa9a2315b46c83641b67a18abd8bffa3274a278dd14105c4d693 target_unique=315
daregram epoch=17/50 source_MSE=1563.563599 gram=28.290459 source_order_sha256=111b7de9d98b7af19c9f4b58383915a9a55997608b8be63c5e20f3fa330aa482 target_unique=315
daregram epoch=18/50 source_MSE=1315.900317 gram=23.377140 source_order_sha256=ffe7bdf1ce33eb0083ff6d7f42c7be92446e35f131000d9e994ed3e0d758af39 target_unique=315
daregram epoch=19/50 source_MSE=974.922449 gram=33.802981 source_order_sha256=2254d17d8c587d2b097559fe5156cea351b68f51c1017478c9b5b8dc90fc0b14 target_unique=315
daregram epoch=20/50 source_MSE=731.416870 gram=30.525947 source_order_sha256=f415c568d7d8db59303b85bfc817155a0be2ec283477f75e6575a8a527900996 target_unique=315
daregram epoch=21/50 source_MSE=571.588751 gram=27.337678 source_order_sha256=3c8e5dbaf39e7632bfe9fee296bc172ef601d4c6294279dfbea7cffa9328218a target_unique=315
daregram epoch=22/50 source_MSE=428.094550 gram=38.756629 source_order_sha256=ac294e251312176d0d40ea54d93a54b42495502bcb04312071358c24f1bb1a46 target_unique=315
daregram epoch=23/50 source_MSE=341.443854 gram=28.731058 source_order_sha256=eef9fba928cc56b40a2300963870f7c73b6af65b48a7030977e935a1efa896cb target_unique=315
daregram epoch=24/50 source_MSE=215.654575 gram=31.713763 source_order_sha256=7245b6a266109d661c0552fb0d5afab1d7f986283023c37b5087b06d5609f586 target_unique=315
daregram epoch=25/50 source_MSE=285.656427 gram=19.814852 source_order_sha256=c2d5c8c8492acf6ac20b1682bd30d730ad77952566d1cb1ac96cab07097a76e8 target_unique=315
daregram epoch=26/50 source_MSE=129.252611 gram=25.671113 source_order_sha256=880b11a68c3e9331b8b85f8b293d16ee89de970ed21d1e27190a8236ea3853a9 target_unique=315
daregram epoch=27/50 source_MSE=92.102029 gram=7.790005 source_order_sha256=46d2fb7f517579897edf44af4c4c7370d382e161a19d511f7c8039bb57b9cd0e target_unique=315
daregram epoch=28/50 source_MSE=111.178850 gram=20.899687 source_order_sha256=ce74ee140cc37ceaa169460330a8d480c042dc0cb4e3041415702b072281c550 target_unique=315
daregram epoch=29/50 source_MSE=54.903068 gram=10.581162 source_order_sha256=d9e0f60480670f491ea3d5863ee2950ed74376fd4cd39a136bd56119046525af target_unique=315
daregram epoch=30/50 source_MSE=58.080199 gram=7.912567 source_order_sha256=fd91dc1b94d0a0a48def896214cdf12068ab19a5150643cc31e54614ab9d7c93 target_unique=315
daregram epoch=31/50 source_MSE=32.562701 gram=13.204632 source_order_sha256=3b517477f5e2e983f0621ffb3bea3e5c22fce61e693dc45e40d5b7bb8e2802a1 target_unique=315
daregram epoch=32/50 source_MSE=64.039918 gram=12.506034 source_order_sha256=c114a5417c784b0bf3eed5ea582865e655d2fdcdd834ae7129dc1d23b005ff7d target_unique=315
daregram epoch=33/50 source_MSE=46.473115 gram=14.159484 source_order_sha256=f18750f3c89bd3c6a3810e8fa998a7dadc289fdacf46cec48d15c3465fd72575 target_unique=315
